FACTResultID,MakeID,AgeID,MileageID,CylinderCapacityID,Result
290325522,160,4,2,2367,1
290325519,420,2,4,7351,1
290325510,545,5,5,1429,1
290325508,276,5,5,1394,1
290325500,469,5,4,6789,1
290325498,216,3,5,7783,1
290325496,141,5,3,3035,1
290325493,216,4,4,1434,1
290325490,7,5,5,190,1
290325487,311,5,4,5103,1
290325485,469,3,4,5009,1
290325481,7,5,4,190,1
290325477,103,5,4,1533,1
290325474,545,5,2,740,1
290325744,276,4,4,1533,1
290325745,63,4,5,7744,1
290325747,81,4,2,5416,1
290325749,313,4,3,1490,1
290325751,469,4,4,6465,1
290325752,63,4,5,6421,1
290325754,63,4,4,7744,1
290325759,276,4,4,1533,1
290325761,420,4,5,1434,1
290325767,109,4,4,1434,1
290325774,63,4,4,310,1
290325776,309,4,4,6320,1
290325780,420,4,5,2192,1
290325785,267,4,4,310,1
290325787,103,4,5,1533,1
290325791,183,4,3,5416,1
290325795,63,4,5,4379,1
290325798,323,4,3,1434,1
290325801,39,4,4,5151,1
290325802,63,4,3,4379,1
290325804,63,4,4,6421,1
290325809,276,4,6,7091,1
290325810,311,4,3,5103,1
290325813,160,4,3,3632,1
290325814,39,4,4,5151,1
290325816,109,4,4,1434,1
290325818,503,4,5,6240,1
290325819,63,4,5,2180,1
290325824,7,4,5,7681,1
290325825,7,4,5,5497,1
290325826,420,4,4,1104,1
290325827,63,4,4,310,1
290325829,291,4,4,307,1
290325833,63,4,4,2180,1
290325836,508,4,4,1119,1
290325837,103,4,2,3632,1
290325838,250,4,5,1056,1
290325840,420,3,4,315,1
290325842,164,4,5,7084,1
290325843,291,4,5,6279,1
290325845,63,5,3,4379,1
290325847,63,4,4,310,1
290325850,276,4,4,1533,1
290325857,216,4,5,5469,1
290325860,392,4,4,3619,1
290325862,49,4,5,310,1
290325865,216,4,5,33,1
290325867,216,4,3,3268,1
290325868,267,4,4,3587,1
290325871,7,4,5,3752,1
290325873,250,4,3,2455,1
290325874,469,4,4,4095,1
290325876,63,4,4,4776,1
